<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPT,D,20080131,000000,9940.0000,10250.0000,9940.0000,10250.0000,225620,0
FPT,D,20080201,000000,10250.0000,10300.0000,10200.0000,10300.0000,54640,0
FPT,D,20080212,000000,10300.0000,10300.0000,9990.0000,10040.0000,76750,0
FPT,D,20080213,000000,9730.0000,9830.0000,9570.0000,9570.0000,91500,0
FPT,D,20080214,000000,9570.0000,9780.0000,9570.0000,9620.0000,173150,0
FPT,D,20080215,000000,9680.0000,9680.0000,9420.0000,9570.0000,90890,0
FPT,D,20080218,000000,9260.0000,9260.0000,9100.0000,9160.0000,262900,0
FPT,D,20080219,000000,8900.0000,9100.0000,8840.0000,9100.0000,242480,0
FPT,D,20080220,000000,8900.0000,8900.0000,8690.0000,8690.0000,31206,0
FPT,D,20080221,000000,8270.0000,8270.0000,8270.0000,8270.0000,187680,0
FPT,D,20080222,000000,7910.0000,7910.0000,7910.0000,7910.0000,287230,0
FPT,D,20080225,000000,8060.0000,8270.0000,8060.0000,8270.0000,301820,0
FPT,D,20080226,000000,8220.0000,8270.0000,7910.0000,7910.0000,304670,0
FPT,D,20080227,000000,7860.0000,8120.0000,7860.0000,7860.0000,156900,0
FPT,D,20080228,000000,7960.0000,7960.0000,7650.0000,7700.0000,123600,0
FPT,D,20080229,000000,7440.0000,7700.0000,7340.0000,7340.0000,216820,0
FPT,D,20080303,000000,6970.0000,6970.0000,6970.0000,6970.0000,190060,0
FPT,D,20080304,000000,6660.0000,6660.0000,6660.0000,6660.0000,134790,0
FPT,D,20080305,000000,6350.0000,6350.0000,6350.0000,6350.0000,260000,0
FPT,D,20080306,000000,6660.0000,6660.0000,6660.0000,6660.0000,150750,0
FPT,D,20080307,000000,6970.0000,6970.0000,6970.0000,6970.0000,66860,0
FPT,D,20080310,000000,7280.0000,7280.0000,7280.0000,7280.0000,749480,0
FPT,D,20080311,000000,6970.0000,7180.0000,6920.0000,6970.0000,438330,0
FPT,D,20080312,000000,6970.0000,7280.0000,6970.0000,7130.0000,326740,0
FPT,D,20080313,000000,7130.0000,7230.0000,7080.0000,7130.0000,97870,0
FPT,D,20080314,000000,7080.0000,7130.0000,7020.0000,7130.0000,229600,0
FPT,D,20080317,000000,6820.0000,6920.0000,6820.0000,6820.0000,118510,0
FPT,D,20080318,000000,6500.0000,6500.0000,6500.0000,6500.0000,53240,0
FPT,D,20080319,000000,6190.0000,6500.0000,6190.0000,6190.0000,414330,0
FPT,D,20080320,000000,5930.0000,6190.0000,5930.0000,5930.0000,297440,0
FPT,D,20080321,000000,5670.0000,5720.0000,5670.0000,5670.0000,225440,0
FPT,D,20080324,000000,5410.0000,5410.0000,5410.0000,5410.0000,61590,0
FPT,D,20080325,000000,5150.0000,5150.0000,5150.0000,5150.0000,78260,0
FPT,D,20080326,000000,4920.0000,4920.0000,4920.0000,4920.0000,491820,0
FPT,D,20080327,000000,4940.0000,4940.0000,4920.0000,4940.0000,564730,0
FPT,D,20080328,000000,4970.0000,4970.0000,4940.0000,4970.0000,340310,0
FPT,D,20080331,000000,4990.0000,4990.0000,4990.0000,4990.0000,237720,0
FPT,D,20080401,000000,5020.0000,5020.0000,5020.0000,5020.0000,47650,0
FPT,D,20080402,000000,5050.0000,5050.0000,5050.0000,5050.0000,1820,0
